sensor_id,timestamp,ubicacion,temperatura_c,humedad_pct,velocidad_viento_ms,presion_hpa,seeing_arcsec,transparencia
SENS-002,2024-03-07T04:25:00,Sur,13.49,15.7,3.91,743.7,-1.581,0.801
SENS-002,2024-03-04T04:50:00,Sur,16.78,3.1,5.43,745.78,0.195,0.712
SENS-003,2024-03-04T17:10:00,Este,15.58,14.5,7.0,745.89,0.463,0.734
SENS-004,2024-03-05T07:50:00,Oeste,17.07,8.6,5.94,745.11,0.51,0.944
SENS-001,2024-03-03T03:55:00,Norte,15.33,4.1,2.84,745.32,0.456,0.848
SENS-002,2024-03-07T16:55:00,Sur,14.74,13.8,4.56,744.28,0.629,0.66
SENS-003,2024-03-03T15:55:00,Este,18.78,14.4,8.11,743.23,0.721,0.717
SENS-004,2024-03-04T19:10:00,Oeste,17.03,6.0,6.96,748.54,0.709,0.663
SENS-002,2024-03-05T10:50:00,Sur,14.39,16.1,5.14,747.26,0.406,0.943
SENS-002,2024-03-07T22:10:00,Sur,17.06,5.5,5.34,744.65,0.413,0.847
SENS-001,2024-03-02T02:15:00,Norte,15.85,4.6,9.16,740.29,0.566,0.859
SENS-004,2024-03-07T01:00:00,Oeste,16.29,11.2,6.03,736.51,0.609,0.751
SENS-003,2024-03-06T19:40:00,Este,16.27,11.1,8.5,742.16,0.78,0.681
SENS-003,2024-03-04T22:45:00,Este,15.95,9.2,1.94,742.79,0.549,0.97
SENS-003,2024-03-02T03:45:00,Este,16.61,16.1,5.33,744.96,0.729,0.68
SENS-005,2024-03-04T21:15:00,Centro,18.05,15.2,4.31,746.43,-1.335,0.818
SENS-003,2024-03-07T17:15:00,Este,18.08,119.8,7.63,746.91,0.362,0.863
SENS-003,2024-03-03T16:00:00,Este,14.96,16.0,8.97,744.46,0.574,0.845
SENS-003,2024-03-07T20:30:00,Este,15.85,18.2,2.38,742.89,0.687,0.765
SENS-001,2024-03-04T18:20:00,Norte,16.96,16.2,4.43,739.4,0.641,0.747
SENS-002,2024-03-03T10:55:00,Sur,19.33,15.1,7.89,746.59,0.958,0.733
SENS-004,2024-03-04T06:15:00,Oeste,15.91,15.4,9.56,748.44,-1.28,0.721
SENS-004,2024-03-04T06:50:00,Oeste,15.65,18.7,5.17,747.33,1.015,0.875
SENS-005,2024-03-02T16:50:00,Centro,18.09,17.8,4.33,744.76,0.576,0.948
SENS-003,2024-03-06T09:40:00,Este,-999.0,5.1,4.87,745.06,0.194,0.713
SENS-001,2024-03-01T08:55:00,Norte,14.58,5.4,7.7,746.27,0.952,0.837
SENS-002,2024-03-03T16:45:00,Sur,17.07,9.6,9.18,739.92,0.694,0.868
SENS-003,2024-03-07T04:45:00,Este,12.51,5.8,7.77,744.28,0.771,0.677
SENS-001,2024-03-02T01:15:00,Norte,17.05,15.1,8.07,744.24,0.151,0.938
SENS-004,2024-03-03T20:20:00,Oeste,16.39,5.6,6.48,743.97,0.781,0.945
SENS-005,2024-03-05T00:25:00,Centro,15.13,11.1,3.62,742.0,0.509,0.768
SENS-003,2024-03-02T21:00:00,Este,19.03,14.2,6.74,743.35,0.631,0.986
SENS-005,2024-03-03T03:45:00,Centro,15.09,8.4,5.77,747.6,0.535,0.724
SENS-001,2024-03-05T01:55:00,Norte,16.64,15.7,7.64,1014.65,0.76,0.801
SENS-003,2024-03-07T17:05:00,Este,15.21,11.1,6.73,741.07,0.345,0.97
SENS-002,2024-03-01T20:25:00,Sur,19.31,15.7,6.48,744.63,0.26,0.671
SENS-001,2024-03-01T02:45:00,Norte,13.97,19.5,3.59,747.2,0.58,0.871
SENS-003,2024-03-03T23:00:00,Este,18.91,5.4,4.27,745.97,-1.621,0.85
SENS-002,2024-03-03T16:05:00,Sur,12.52,7.6,4.69,743.21,0.736,0.669
SENS-002,2024-03-05T16:45:00,Sur,18.69,14.6,3.44,748.68,1.011,0.889
SENS-001,2027-10-14T11:46:00,Norte,14.72,7.0,7.19,743.9,0.491,0.978
SENS-002,2024-03-06T20:25:00,Sur,16.4,8.5,8.33,742.14,0.295,0.768
SENS-003,2024-03-02T04:05:00,Este,13.26,5.9,6.61,745.02,0.975,0.678
SENS-001,2024-03-02T01:55:00,Norte,17.41,14.4,4.79,742.58,0.678,0.806
SENS-002,2024-03-04T10:55:00,Sur,17.28,14.9,5.1,746.24,0.648,0.966
SENS-004,2024-03-04T05:45:00,Oeste,15.1,18.2,7.14,740.92,1.098,0.651
SENS-004,2024-03-04T07:50:00,Oeste,16.54,18.5,6.48,745.23,0.929,0.887
SENS-004,2024-03-07T04:30:00,Oeste,14.76,9.2,8.94,746.49,0.46,0.689
SENS-005,2024-03-02T23:30:00,Centro,18.2,5.3,2.34,741.97,0.873,0.731
SENS-005,2024-03-05T13:50:00,Centro,18.01,10.3,7.5,746.71,0.871,0.785
SENS-004,2024-03-04T20:35:00,Oeste,18.92,16.7,7.79,744.29,0.624,0.934
SENS-004,2024-03-01T04:10:00,Oeste,13.61,16.2,3.84,744.44,0.364,0.911
SENS-003,2024-03-07T12:05:00,Este,15.96,7.3,3.84,745.99,0.752,0.885
SENS-001,2024-03-06T21:00:00,Norte,18.95,17.5,1.39,744.87,0.745,0.671
SENS-004,2024-03-02T01:35:00,Oeste,16.08,5.2,4.05,747.07,0.625,0.742
SENS-003,2024-03-06T09:10:00,Este,18.49,13.2,4.15,740.94,0.618,0.886
SENS-001,2024-03-07T03:20:00,Norte,13.62,7.9,5.21,747.75,1.035,0.836
SENS-003,2024-03-02T10:35:00,Este,17.17,6.2,4.23,742.98,0.538,0.766
SENS-005,2024-03-07T17:10:00,Centro,17.39,18.5,4.21,744.8,0.234,0.912
SENS-003,2024-03-04T20:10:00,Este,17.67,6.9,5.46,744.03,0.807,0.736
SENS-001,2024-03-04T08:50:00,Norte,14.8,13.2,0.73,747.73,0.271,0.746
SENS-005,2024-03-05T13:00:00,Centro,18.14,14.5,8.63,746.14,0.613,0.67
SENS-001,2024-03-07T01:00:00,Norte,15.58,12.1,2.85,746.49,0.502,0.921
SENS-002,2024-03-04T15:55:00,Sur,16.14,3.2,9.06,745.89,0.644,0.833
SENS-003,2024-03-06T06:50:00,Este,20.72,15.7,4.33,742.29,0.46,0.988
SENS-004,2024-03-04T18:55:00,Oeste,17.12,5.9,4.85,742.02,0.591,0.854
SENS-003,2024-03-07T09:10:00,Este,17.48,15.0,6.76,746.97,0.509,0.853
SENS-004,2024-03-04T05:05:00,Oeste,14.31,6.3,2.29,747.92,1.163,0.792
SENS-003,2024-03-01T23:15:00,Este,17.81,16.2,2.85,744.48,1.146,0.997
SENS-005,2024-03-04T01:35:00,Centro,20.53,13.9,8.22,744.14,0.687,0.696
SENS-001,2024-03-03T04:00:00,Norte,15.54,19.3,7.45,750.26,0.789,0.666
SENS-003,2024-03-06T23:55:00,Este,18.57,19.2,3.17,751.38,1.372,0.691
SENS-001,2024-03-03T07:40:00,Norte,18.32,11.6,4.97,742.16,0.646,0.994
SENS-001,2024-03-05T03:00:00,Norte,15.86,15.9,8.36,745.58,0.356,0.739
SENS-002,2024-03-07T09:30:00,Sur,19.0,8.7,6.93,743.51,0.45,0.837
SENS-005,2024-03-05T01:50:00,Centro,15.97,10.5,3.72,744.41,0.921,0.87
SENS-002,2024-03-02T08:40:00,Sur,14.9,11.8,7.75,740.09,0.472,0.947
SENS-003,2024-03-04T13:30:00,Este,14.44,13.2,5.02,742.77,0.424,0.933
